93715, GREEDY, UCBM (11) (1) (100), -1, 3332313322252554414411, -0.571428571428571
62735, GREEDY, UCBM (11) (1) (100), 1, 33323433222522444641111, 0.434285714285714
42394, GREEDY, UCBM (11) (1) (100), 1, 303030023, 0.754285714285714
12312, GREEDY, UCBM (11) (1) (100), -1, 363133311414424422, -0.685714285714286
50452, GREEDY, UCBM (11) (1) (100), 1, 3231303, 0.8
22323, GREEDY, UCBM (11) (1) (100), 1, 3532353, 0.8
39123, GREEDY, UCBM (11) (1) (100), 1, 333133311411414446222, 0.48
75675, GREEDY, UCBM (11) (1) (100), 1, 3333344144453412122, 0.525714285714286
12392, GREEDY, UCBM (11) (1) (100), 1, 3634313, 0.8
11221, GREEDY, UCBM (11) (1) (100), 1, 333633311016112521252, 0.48
93715, GREEDY, UCBM (11) (1) (500), -1, 333233212222301110, -0.685714285714286
62735, GREEDY, UCBM (11) (1) (500), 1, 3334303444463, 0.662857142857143
42394, GREEDY, UCBM (11) (1) (500), 1, 303633353656665556212121142, 0.342857142857143
12312, GREEDY, UCBM (11) (1) (500), 1, 363332352226266552503650050044404, 0.205714285714286
50452, GREEDY, UCBM (11) (1) (500), 1, 3234353, 0.8
22323, GREEDY, UCBM (11) (1) (500), -1, 353533305653500225242244, -0.514285714285714
39123, GREEDY, UCBM (11) (1) (500), 1, 33323031202006202, 0.571428571428572
75675, GREEDY, UCBM (11) (1) (500), -1, 3135333115105222, -0.742857142857143
12392, GREEDY, UCBM (11) (1) (500), -1, 36323332232226454445, -0.628571428571429
11221, GREEDY, UCBM (11) (1) (500), 1, 3231333421202112464040004, 0.388571428571429
93715, GREEDY, UCBM (11) (1) (1000), 1, 333233222525505030052044414, 0.342857142857143
62735, GREEDY, UCBM (11) (1) (1000), -1, 32333032202420044441, -0.628571428571429
42394, GREEDY, UCBM (11) (1) (1000), 1, 30303003322624244241443616651, 0.297142857142857
12312, GREEDY, UCBM (11) (1) (1000), -1, 36313336366110144441412422, -0.457142857142857
50452, GREEDY, UCBM (11) (1) (1000), -1, 35343331444546, -0.8
22323, GREEDY, UCBM (11) (1) (1000), 1, 3530333551503610041442422, 0.388571428571429
39123, GREEDY, UCBM (11) (1) (1000), 1, 343433434436212022211, 0.48
75675, GREEDY, UCBM (11) (1) (1000), 1, 313131103, 0.754285714285714
12392, GREEDY, UCBM (11) (1) (1000), 1, 3632363, 0.8
11221, GREEDY, UCBM (11) (1) (1000), -1, 323232233520355255454444, -0.514285714285714
93715, GREEDY, UCBM (11) (1) (2500), -1, 33313431131441464422, -0.628571428571429
62735, GREEDY, UCBM (11) (1) (2500), -1, 33343445453344515015111122, -0.457142857142857
42394, GREEDY, UCBM (11) (1) (2500), 1, 3034313, 0.8
12312, GREEDY, UCBM (11) (1) (2500), -1, 36333636622620223006002555554444, -0.285714285714286
50452, GREEDY, UCBM (11) (1) (2500), -1, 3433334144431010110022, -0.571428571428571
22323, GREEDY, UCBM (11) (1) (2500), 1, 3532353, 0.8
39123, GREEDY, UCBM (11) (1) (2500), 1, 3436363, 0.8
75675, GREEDY, UCBM (11) (1) (2500), -1, 31333131144044431222222400, -0.457142857142857
12392, GREEDY, UCBM (11) (1) (2500), -1, 3335353355511514114442, -0.571428571428571
11221, GREEDY, UCBM (11) (1) (2500), -1, 333433414144113010060022, -0.514285714285714
93715, GREEDY, UCBM (11) (1) (5000), -1, 333233222321161114, -0.685714285714286
62735, GREEDY, UCBM (11) (1) (5000), 1, 33313133121224424, 0.571428571428572
42394, GREEDY, UCBM (11) (1) (5000), 1, 3034343, 0.8
12312, GREEDY, UCBM (11) (1) (5000), 1, 3634303, 0.8
50452, GREEDY, UCBM (11) (1) (5000), -1, 3433344431411611322122, -0.571428571428571
22323, GREEDY, UCBM (11) (1) (5000), 1, 3534343, 0.8
39123, GREEDY, UCBM (11) (1) (5000), -1, 3434344336403116166611222525, -0.4
75675, GREEDY, UCBM (11) (1) (5000), 1, 3131363, 0.8
12392, GREEDY, UCBM (11) (1) (5000), 1, 3334363643466144111510555, 0.388571428571429
11221, GREEDY, UCBM (11) (1) (5000), 1, 3330323623262226600044455545455, 0.251428571428571
93715, GREEDY, UCBM (11) (1) (7500), 1, 33303435444040063, 0.571428571428572
62735, GREEDY, UCBM (11) (1) (7500), 1, 3332343446402126202, 0.525714285714286
42394, GREEDY, UCBM (11) (1) (7500), 1, 30333030053054414141145656166, 0.297142857142857
12312, GREEDY, UCBM (11) (1) (7500), 1, 363133344646614012122, 0.48
50452, GREEDY, UCBM (11) (1) (7500), -1, 34343341413416163011266622, -0.457142857142857
22323, GREEDY, UCBM (11) (1) (7500), 1, 3531353, 0.8
39123, GREEDY, UCBM (11) (1) (7500), -1, 3431333644464663161515, -0.571428571428571
75675, GREEDY, UCBM (11) (1) (7500), 1, 31303333101005115055552224244, 0.297142857142857
12392, GREEDY, UCBM (11) (1) (7500), 1, 33323226203322454044455, 0.434285714285714
11221, GREEDY, UCBM (11) (1) (7500), 1, 33343134434044161615566050005, 0.297142857142857
93715, GREEDY, UCBM (11) (1) (10000), -1, 333032322320220550555541111044, -0.342857142857143
62735, GREEDY, UCBM (11) (1) (10000), 1, 333234344225562243411, 0.48
42394, GREEDY, UCBM (11) (1) (10000), -1, 30333532202002223556565544, -0.457142857142857
12312, GREEDY, UCBM (11) (1) (10000), 1, 3636353, 0.8
50452, GREEDY, UCBM (11) (1) (10000), 1, 343433424321252244311, 0.48
22323, GREEDY, UCBM (11) (1) (10000), 1, 3536363, 0.8
39123, GREEDY, UCBM (11) (1) (10000), 1, 3431363, 0.8
75675, GREEDY, UCBM (11) (1) (10000), -1, 31313331163016266422, -0.628571428571429
12392, GREEDY, UCBM (11) (1) (10000), 1, 33343033444640060665555, 0.434285714285714
11221, GREEDY, UCBM (11) (1) (10000), -1, 33323222332020044444004011, -0.457142857142857
93715, GREEDY, UCBM (11) (1) (12500), 1, 333531311415455344441156222, 0.342857142857143
62735, GREEDY, UCBM (11) (1) (12500), -1, 3334353345455445212224225111, -0.4
42394, GREEDY, UCBM (11) (1) (12500), 1, 3035353, 0.8
12312, GREEDY, UCBM (11) (1) (12500), 1, 3632363, 0.8
50452, GREEDY, UCBM (11) (1) (12500), 1, 3434323, 0.8
22323, GREEDY, UCBM (11) (1) (12500), 1, 3532353, 0.8
39123, GREEDY, UCBM (11) (1) (12500), -1, 3433344341443112112022, -0.571428571428571
75675, GREEDY, UCBM (11) (1) (12500), -1, 3133363114144341422122, -0.571428571428571
12392, GREEDY, UCBM (11) (1) (12500), 1, 333030300223222620454441411, 0.342857142857143
11221, GREEDY, UCBM (11) (1) (12500), 1, 33333532202622565556600200444, 0.297142857142857
93715, GREEDY, UCBM (11) (1) (15000), -1, 333334444640311515, -0.685714285714286
62735, GREEDY, UCBM (11) (1) (15000), 1, 3332313023252211155250100, 0.388571428571429
42394, GREEDY, UCBM (11) (1) (15000), 1, 3031353, 0.8
12312, GREEDY, UCBM (11) (1) (15000), -1, 3633303444464666311010051155, -0.4
50452, GREEDY, UCBM (11) (1) (15000), 1, 3434323, 0.8
22323, GREEDY, UCBM (11) (1) (15000), -1, 3533353154414112442422225311, -0.4
39123, GREEDY, UCBM (11) (1) (15000), -1, 34333440463640300426602226221011, -0.285714285714286
75675, GREEDY, UCBM (11) (1) (15000), -1, 3133363114144341422122, -0.571428571428571
12392, GREEDY, UCBM (11) (1) (15000), 1, 33303434414040043, 0.571428571428572
11221, GREEDY, UCBM (11) (1) (15000), -1, 333434443346222222400606660011, -0.342857142857143
93715, GREEDY, UCBM (11) (1) (17500), -1, 3333322320222554444545, -0.571428571428571
62735, GREEDY, UCBM (11) (1) (17500), 1, 3332322020332205505655411111414, 0.251428571428571
42394, GREEDY, UCBM (11) (1) (17500), 1, 3032323, 0.8
12312, GREEDY, UCBM (11) (1) (17500), -1, 3633303444464666311010051155, -0.4
50452, GREEDY, UCBM (11) (1) (17500), 1, 3434323, 0.8
22323, GREEDY, UCBM (11) (1) (17500), -1, 35333535503222225000264644, -0.457142857142857
39123, GREEDY, UCBM (11) (1) (17500), -1, 343334404636403004266022262111, -0.342857142857143
75675, GREEDY, UCBM (11) (1) (17500), -1, 3133363114144341422122, -0.571428571428571
12392, GREEDY, UCBM (11) (1) (17500), 1, 33303434414040043, 0.571428571428572
11221, GREEDY, UCBM (11) (1) (17500), 1, 333433434446212022211, 0.48
93715, GREEDY, UCBM (11) (1) (20000), -1, 333330344441411510100155545522, -0.342857142857143
62735, GREEDY, UCBM (11) (1) (20000), 1, 3332322424434552411, 0.525714285714286
42394, GREEDY, UCBM (11) (1) (20000), 1, 3032323, 0.8
12312, GREEDY, UCBM (11) (1) (20000), 1, 36313334454146166413115550562, 0.297142857142857
50452, GREEDY, UCBM (11) (1) (20000), 1, 3434323, 0.8
22323, GREEDY, UCBM (11) (1) (20000), -1, 35333134454441155212, -0.628571428571429
39123, GREEDY, UCBM (11) (1) (20000), -1, 34333441413216142122, -0.628571428571429
75675, GREEDY, UCBM (11) (1) (20000), -1, 3133363114144341422122, -0.571428571428571
12392, GREEDY, UCBM (11) (1) (20000), 1, 33303434414040043, 0.571428571428572
11221, GREEDY, UCBM (11) (1) (20000), -1, 333434434142222422361611, -0.514285714285714
